TEXTURE_ID,FPS,"LOOPTYPE(0:Single, 1:Loop)",,,,
Blood,10,1,,,,
,,,,,,
TEXTUREID,LEFT,TOP,WIDHT,HEIGHT,ORIGIN_X,ORIGIN_Y
graphics/effect_002_bloodpoof_large1.png,0,0,80,80,40.000000,40.000000
graphics/effect_002_bloodpoof_large1.png,80,0,80,80,40.000000,40.000000
graphics/effect_002_bloodpoof_large1.png,160,0,80,80,40.000000,40.000000
graphics/effect_002_bloodpoof_large1.png,240,0,80,80,40.000000,40.000000
graphics/effect_002_bloodpoof_large1.png,0,80,80,80,40.000000,40.000000
graphics/effect_002_bloodpoof_large1.png,80,80,80,80,40.000000,40.000000
graphics/effect_002_bloodpoof_large1.png,80,80,80,80,40.000000,40.000000
