TEXTURE_ID,FPS,"LOOPTYPE(0:Single, 1:Loop)",,,,
Hopper_jump,10,1,,,,
,,,,,,
TEXTUREID,LEFT,TOP,HEIGHT,WIDTH,ORIGIN_X,ORIGIN_Y
graphics/monster_044_hopperleaper.png,136,1,17,31,0.000000,0.000000
graphics/monster_044_hopperleaper.png,168,0,16,25,0.000000,0.000000
graphics/monster_044_hopperleaper.png,168,38,20,24,0.000000,0.000000
graphics/monster_044_hopperleaper.png,135,31,20,33,0.000000,0.000000
graphics/monster_044_hopperleaper.png,100,33,27,18,0.000000,0.000000
graphics/monster_044_hopperleaper.png,65,31,25,18,0.000000,0.000000
graphics/monster_044_hopperleaper.png,35,31,26,20,0.000000,0.000000
graphics/monster_044_hopperleaper.png,5,31,22,20,0.000000,0.000000
