TEXTURE_ID,FPS,"LOOPTYPE(0:Single, 1:Loop)",,,,
Run,10,1,,,,
,,,,,,
TEXTUREID,LEFT,TOP,HEIGHT,WIDTH,ORIGIN_X,ORIGIN_Y
graphics/sprite_sheet.png,0,120,120,120,0.000000,0.000000
graphics/sprite_sheet.png,120,120,120,120,0.000000,0.000000
graphics/sprite_sheet.png,240,120,120,120,0.000000,0.000000
graphics/sprite_sheet.png,360,120,120,120,0.000000,0.000000
graphics/sprite_sheet.png,480,120,120,120,0.000000,0.000000
graphics/sprite_sheet.png,600,120,120,120,0.000000,0.000000
graphics/sprite_sheet.png,720,120,120,120,0.000000,0.000000
graphics/sprite_sheet.png,840,120,120,120,0.000000,0.000000
graphics/sprite_sheet.png,0,240,120,120,0.000000,0.000000
