FILENAME,LEFT,TOP,WIDTH,HEIGHT,HITBOX
graphics/additionals/grid_poop.png,3,1,27,28,1
graphics/additionals/grid_poop.png,3,33,27,28,1
graphics/additionals/grid_poop.png,3,65,27,28,1
graphics/additionals/grid_poop.png,3,97,27,28,1
graphics/additionals/grid_poop.png,3,129,27,28,1
graphics/effect_000_shopkeepers.png,13,14,36,37,1
graphics/effect_000_shopkeepers.png,13,141,37,40,1
graphics/effect_000_shopkeepers.png,75,137,40,45,1
graphics/effect_000_shopkeepers.png,140,140,39,40,1
graphics/shop_001_bitfont.png,0,0,16,16,1
graphics/shop_001_bitfont.png,16,0,16,16,1
graphics/shop_001_bitfont.png,32,0,16,16,1
graphics/shop_001_bitfont.png,48,0,16,16,1
graphics/shop_001_bitfont.png,64,0,16,16,1
graphics/shop_001_bitfont.png,80,0,16,16,1
graphics/shop_001_bitfont.png,0,16,16,16,1
graphics/shop_001_bitfont.png,16,16,16,16,1
graphics/shop_001_bitfont.png,32,16,16,16,1
graphics/shop_001_bitfont.png,48,16,16,16,1
graphics/shop_001_bitfont.png,64,16,16,16,1
graphics/shop_001_bitfont.png,80,16,16,16,1
