FILENAME,LEFT,TOP,WIDTH,HEIGHT
graphics/obstacles/pit/grid_pit_basement.png,0,0,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,26,0,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,52,0,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,78,0,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,0,26,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,26,26,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,52,26,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,78,26,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,0,52,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,26,52,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,52,52,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,78,52,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,0,78,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,26,78,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,52,78,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,78,78,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,0,104,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,26,104,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,52,104,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,78,104,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,0,130,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,26,130,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,52,130,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,78,130,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,0,156,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,26,156,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,52,156,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,78,156,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,0,182,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,26,182,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,52,182,26,26,1
graphics/obstacles/pit/grid_pit_basement.png,78,182,26,26,1
