FILENAME,LEFT,TOP,WIDTH,HEIGHT
graphics/obstacles/rocks/rocks_basement.png,3,3,25,27,1
graphics/obstacles/rocks/rocks_basement.png,34,3,27,28,1
graphics/obstacles/rocks/rocks_basement.png,66,1,27,31,1
graphics/obstacles/rocks/rocks_basement.png,3,35,26,27,1
graphics/obstacles/rocks/rocks_basement.png,35,35,25,27,1
graphics/obstacles/rocks/rocks_basement.png,65,34,28,27,1
graphics/obstacles/rocks/rocks_basement.png,2,65,26,29,1
graphics/obstacles/rocks/rocks_basement.png,35,67,25,28,1
graphics/obstacles/rocks/rocks_basement.png,65,66,28,27,1
graphics/obstacles/rocks/rocks_basement.png,99,68,26,27,1
graphics/obstacles/rocks/rocks_basement.png,2,96,60,63,1
graphics/obstacles/rocks/rocks_basement.png,67,98,24,27,1
graphics/obstacles/rocks/rocks_basement.png,99,98,24,27,1
graphics/obstacles/rocks/rocks_basement.png,3,165,27,56,1
graphics/obstacles/rocks/rocks_basement.png,4,226,55,28,1
